2025-10-16 11:26:21,167 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-10-16 11:26:22,436 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-10-16 11:26:22,436 | INPUT | INFO | Fill input "Email" to value "  "
2025-10-16 11:26:22,512 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-10-16 11:26:22,512 | INPUT | INFO | Checking that input "Email" has a value "  "
2025-10-16 11:26:22,559 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-10-16 11:26:22,559 | INPUT | INFO | Fill input "Password" to value "password"
2025-10-16 11:26:22,669 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-10-16 11:26:22,669 | INPUT | INFO | Checking that input "Password" has a value "password"
2025-10-16 11:26:22,702 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-10-16 11:26:22,702 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-10-16 11:26:22,836 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-10-16 11:26:22,836 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-10-16 11:26:22,863 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-10-16 11:26:22,863 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
