2025-10-16 11:26:26,231 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-10-16 11:26:27,401 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-10-16 11:26:27,401 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-10-16 11:26:27,444 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-10-16 11:26:27,445 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2025-10-16 11:26:27,454 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-10-16 11:26:27,454 | INPUT | INFO | Fill input "Username" to value "username"
2025-10-16 11:26:27,486 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-10-16 11:26:27,486 | INPUT | INFO | Checking that input "Username" has a value "username"
2025-10-16 11:26:27,495 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-10-16 11:26:27,496 | INPUT | INFO | Fill input "Password" to value "password"
2025-10-16 11:26:27,520 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-10-16 11:26:27,520 | INPUT | INFO | Checking that input "Password" has a value "password"
2025-10-16 11:26:27,527 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-10-16 11:26:27,527 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-10-16 11:26:27,587 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-10-16 11:26:27,587 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:27,736 | BASE_ELEMENT | INFO | Getting locator with "data-testid=dashboard-toolbar-title-text" at index "0"
2025-10-16 11:26:27,737 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Dashboard"
