2025-10-16 11:26:21,167 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-10-16 11:26:22,427 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-10-16 11:26:22,427 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-10-16 11:26:22,498 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-10-16 11:26:22,499 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2025-10-16 11:26:22,519 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-10-16 11:26:22,519 | INPUT | INFO | Fill input "Password" to value "password"
2025-10-16 11:26:22,605 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-10-16 11:26:22,605 | INPUT | INFO | Checking that input "Password" has a value "password"
2025-10-16 11:26:22,639 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-10-16 11:26:22,639 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-10-16 11:26:22,785 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-10-16 11:26:22,785 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-10-16 11:26:22,813 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-10-16 11:26:22,814 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
