2025-10-16 11:26:26,642 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-10-16 11:26:27,656 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-10-16 11:26:27,656 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-10-16 11:26:27,741 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-10-16 11:26:27,741 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2025-10-16 11:26:27,751 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-10-16 11:26:27,751 | INPUT | INFO | Fill input "Username" to value "username"
2025-10-16 11:26:27,785 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-10-16 11:26:27,785 | INPUT | INFO | Checking that input "Username" has a value "username"
2025-10-16 11:26:27,796 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-10-16 11:26:27,797 | INPUT | INFO | Fill input "Password" to value "password"
2025-10-16 11:26:27,822 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-10-16 11:26:27,823 | INPUT | INFO | Checking that input "Password" has a value "password"
2025-10-16 11:26:27,832 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-10-16 11:26:27,833 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-10-16 11:26:28,139 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES"
2025-10-16 11:26:29,219 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-10-16 11:26:29,220 | BASE_ELEMENT | INFO | Checking that text "App title" is visible
2025-10-16 11:26:29,248 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-app-title-text" at index "0"
2025-10-16 11:26:29,248 | BASE_ELEMENT | INFO | Checking that text "App title" has text "UI Course"
2025-10-16 11:26:29,258 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-10-16 11:26:29,258 | BASE_ELEMENT | INFO | Checking that text "Welcome title" is visible
2025-10-16 11:26:29,267 | BASE_ELEMENT | INFO | Getting locator with "data-testid=navigation-navbar-welcome-title-text" at index "0"
2025-10-16 11:26:29,267 | BASE_ELEMENT | INFO | Checking that text "Welcome title" has text "Welcome, username!"
2025-10-16 11:26:29,274 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-icon" at index "0"
2025-10-16 11:26:29,274 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2025-10-16 11:26:29,282 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-10-16 11:26:29,282 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:29,288 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-title-text" at index "0"
2025-10-16 11:26:29,289 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Logout"
2025-10-16 11:26:29,295 | BASE_ELEMENT | INFO | Getting locator with "data-testid=logout-drawer-list-item-button" at index "0"
2025-10-16 11:26:29,295 | BASE_ELEMENT | INFO | Checking that button "Button" is visible
2025-10-16 11:26:29,303 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-icon" at index "0"
2025-10-16 11:26:29,303 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2025-10-16 11:26:29,309 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-10-16 11:26:29,309 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:29,317 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-drawer-list-item-title-text" at index "0"
2025-10-16 11:26:29,317 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
