2025-10-16 11:26:23,166 | BASE_PAGE | INFO | Opening the url "AppRoute.LOGIN"
2025-10-16 11:26:24,311 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-10-16 11:26:24,312 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-10-16 11:26:24,357 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-email-input" at index "0"
2025-10-16 11:26:24,357 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2025-10-16 11:26:24,368 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-10-16 11:26:24,369 | INPUT | INFO | Fill input "Password" to value "  "
2025-10-16 11:26:24,411 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-form-password-input" at index "0"
2025-10-16 11:26:24,411 | INPUT | INFO | Checking that input "Password" has a value "  "
2025-10-16 11:26:24,427 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-login-button" at index "0"
2025-10-16 11:26:24,427 | BASE_ELEMENT | INFO | Clicking button "Login"
2025-10-16 11:26:24,567 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-10-16 11:26:24,567 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" is visible
2025-10-16 11:26:24,587 | BASE_ELEMENT | INFO | Getting locator with "data-testid=login-page-wrong-email-or-password-alert" at index "0"
2025-10-16 11:26:24,587 | BASE_ELEMENT | INFO | Checking that text "Wrong email or password" has text "Wrong email or password"
