2025-10-16 11:26:27,975 | BASE_PAGE | INFO | Opening the url "AppRoute.REGISTRATION"
2025-10-16 11:26:28,994 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-10-16 11:26:28,995 | INPUT | INFO | Fill input "Email" to value "user.name@gmail.com"
2025-10-16 11:26:29,037 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-email-input" at index "0"
2025-10-16 11:26:29,037 | INPUT | INFO | Checking that input "Email" has a value "user.name@gmail.com"
2025-10-16 11:26:29,042 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-10-16 11:26:29,043 | INPUT | INFO | Fill input "Username" to value "username"
2025-10-16 11:26:29,057 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-username-input" at index "0"
2025-10-16 11:26:29,058 | INPUT | INFO | Checking that input "Username" has a value "username"
2025-10-16 11:26:29,062 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-10-16 11:26:29,062 | INPUT | INFO | Fill input "Password" to value "password"
2025-10-16 11:26:29,078 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-form-password-input" at index "0"
2025-10-16 11:26:29,078 | INPUT | INFO | Checking that input "Password" has a value "password"
2025-10-16 11:26:29,082 | BASE_ELEMENT | INFO | Getting locator with "data-testid=registration-page-registration-button" at index "0"
2025-10-16 11:26:29,082 | BASE_ELEMENT | INFO | Clicking button "Registration"
2025-10-16 11:26:29,303 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-10-16 11:26:30,558 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-10-16 11:26:30,558 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:30,580 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-title-text" at index "0"
2025-10-16 11:26:30,580 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Create course"
2025-10-16 11:26:30,586 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-10-16 11:26:30,586 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-10-16 11:26:30,591 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-10-16 11:26:30,591 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-10-16 11:26:30,597 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-10-16 11:26:30,597 | BASE_ELEMENT | INFO | Checking that text "Image upload infp title" is visible
2025-10-16 11:26:30,603 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-10-16 11:26:30,603 | BASE_ELEMENT | INFO | Checking that text "Image upload infp title" has text "Tap on "Upload image" button to select file"
2025-10-16 11:26:30,608 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-10-16 11:26:30,608 | BASE_ELEMENT | INFO | Checking that text "Image upload info description" is visible
2025-10-16 11:26:30,613 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-10-16 11:26:30,613 | BASE_ELEMENT | INFO | Checking that text "Image upload info description" has text "Recommended file size 540X300"
2025-10-16 11:26:30,618 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-10-16 11:26:30,619 | BASE_ELEMENT | INFO | Checking that button "Upload image" is visible
2025-10-16 11:26:30,624 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-icon" at index "0"
2025-10-16 11:26:30,624 | BASE_ELEMENT | INFO | Checking that icon "Icon" is visible
2025-10-16 11:26:30,630 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2025-10-16 11:26:30,630 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:30,635 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-title-text" at index "0"
2025-10-16 11:26:30,635 | BASE_ELEMENT | INFO | Checking that text "Title" has text "No image selected"
2025-10-16 11:26:30,641 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2025-10-16 11:26:30,641 | BASE_ELEMENT | INFO | Checking that text "Description" is visible
2025-10-16 11:26:30,646 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-empty-view-description-text" at index "0"
2025-10-16 11:26:30,646 | BASE_ELEMENT | INFO | Checking that text "Description" has text "Preview of selected image will be displayed here"
2025-10-16 11:26:30,651 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-10-16 11:26:30,651 | BASE_ELEMENT | INFO | Checking that input "Title" is visible
2025-10-16 11:26:30,657 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-10-16 11:26:30,657 | INPUT | INFO | Checking that input "Title" has a value ""
2025-10-16 11:26:30,662 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-10-16 11:26:30,662 | BASE_ELEMENT | INFO | Checking that input "Estimated time" is visible
2025-10-16 11:26:30,667 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-10-16 11:26:30,667 | INPUT | INFO | Checking that input "Estimated time" has a value ""
2025-10-16 11:26:30,672 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-10-16 11:26:30,672 | BASE_ELEMENT | INFO | Checking that textarea "Description" is visible
2025-10-16 11:26:30,677 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-10-16 11:26:30,678 | TEXTAREA | INFO | Checking that textarea "Description" has a value ""
2025-10-16 11:26:30,683 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-10-16 11:26:30,683 | BASE_ELEMENT | INFO | Checking that input "Max score" is visible
2025-10-16 11:26:30,689 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-10-16 11:26:30,689 | INPUT | INFO | Checking that input "Max score" has a value "0"
2025-10-16 11:26:30,694 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-10-16 11:26:30,694 | BASE_ELEMENT | INFO | Checking that input "Min score" is visible
2025-10-16 11:26:30,699 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-10-16 11:26:30,699 | INPUT | INFO | Checking that input "Min score" has a value "0"
2025-10-16 11:26:30,706 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2025-10-16 11:26:30,706 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:30,711 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-title-text" at index "0"
2025-10-16 11:26:30,711 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Exercises"
2025-10-16 11:26:30,716 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-exercises-box-toolbar-create-exercise-button" at index "0"
2025-10-16 11:26:30,716 | BASE_ELEMENT | INFO | Checking that button "Create exercise" is visible
