2025-10-16 11:26:29,686 | BASE_PAGE | INFO | Opening the url "AppRoute.COURSES_CREATE"
2025-10-16 11:26:30,858 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-input" at index "0"
2025-10-16 11:26:30,858 | FILE_INPUT | INFO | Set file "testdata/files/image.png" to the file input "Upload"
2025-10-16 11:26:30,934 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-icon" at index "0"
2025-10-16 11:26:30,934 | BASE_ELEMENT | INFO | Checking that icon "Image upload info" is visible
2025-10-16 11:26:30,948 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-10-16 11:26:30,948 | BASE_ELEMENT | INFO | Checking that text "Image upload infp title" is visible
2025-10-16 11:26:30,960 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-title-text" at index "0"
2025-10-16 11:26:30,961 | BASE_ELEMENT | INFO | Checking that text "Image upload infp title" has text "Tap on "Upload image" button to select file"
2025-10-16 11:26:30,991 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-10-16 11:26:30,992 | BASE_ELEMENT | INFO | Checking that text "Image upload info description" is visible
2025-10-16 11:26:31,007 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-info-description-text" at index "0"
2025-10-16 11:26:31,008 | BASE_ELEMENT | INFO | Checking that text "Image upload info description" has text "Recommended file size 540X300"
2025-10-16 11:26:31,019 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-upload-button" at index "0"
2025-10-16 11:26:31,019 | BASE_ELEMENT | INFO | Checking that button "Upload image" is visible
2025-10-16 11:26:31,030 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-remove-button" at index "0"
2025-10-16 11:26:31,030 | BASE_ELEMENT | INFO | Checking that button "Remove image" is visible
2025-10-16 11:26:31,041 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-preview-image-upload-widget-preview-image" at index "0"
2025-10-16 11:26:31,041 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-10-16 11:26:31,054 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-10-16 11:26:31,054 | INPUT | INFO | Fill input "Title" to value "Playwright"
2025-10-16 11:26:31,105 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-10-16 11:26:31,106 | INPUT | INFO | Checking that input "Title" has a value "Playwright"
2025-10-16 11:26:31,129 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-10-16 11:26:31,129 | INPUT | INFO | Fill input "Estimated time" to value "2 weeks"
2025-10-16 11:26:31,209 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-10-16 11:26:31,210 | INPUT | INFO | Checking that input "Estimated time" has a value "2 weeks"
2025-10-16 11:26:31,230 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-10-16 11:26:31,230 | TEXTAREA | INFO | Fill textarea "Description" to value "Playwright"
2025-10-16 11:26:31,332 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-10-16 11:26:31,333 | TEXTAREA | INFO | Checking that textarea "Description" has a value "Playwright"
2025-10-16 11:26:31,362 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-10-16 11:26:31,363 | INPUT | INFO | Fill input "Max score" to value "100"
2025-10-16 11:26:31,456 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-10-16 11:26:31,456 | INPUT | INFO | Checking that input "Max score" has a value "100"
2025-10-16 11:26:31,477 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-10-16 11:26:31,477 | INPUT | INFO | Fill input "Min score" to value "10"
2025-10-16 11:26:31,525 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-10-16 11:26:31,525 | INPUT | INFO | Checking that input "Min score" has a value "10"
2025-10-16 11:26:31,537 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-10-16 11:26:31,538 | BASE_ELEMENT | INFO | Clicking button "Create course"
2025-10-16 11:26:31,639 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
