"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_password_reset","tests.pytest","Thu Oct 16 11:52:35 UTC 2025","passed","Thu Oct 16 11:52:35 UTC 2025","TestUserAuthentication","test_markers","",""
"","1484","User login with wrong email or password","LMS system","Thu Oct 16 11:52:24 UTC 2025","passed","Thu Oct 16 11:52:26 UTC 2025","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Thu Oct 16 11:52:35 UTC 2025","passed","Thu Oct 16 11:52:35 UTC 2025","TestUserAuthentication","test_markers","",""
"","1330","Check displaying of empty courses list","LMS system","Thu Oct 16 11:52:30 UTC 2025","passed","Thu Oct 16 11:52:31 UTC 2025","Courses","Courses","",""
"","1693","User login with wrong email or password","LMS system","Thu Oct 16 11:52:22 UTC 2025","passed","Thu Oct 16 11:52:24 UTC 2025","Authorization","Authentication","",""
"","2791","User login with correct email and password","LMS system","Thu Oct 16 11:52:24 UTC 2025","passed","Thu Oct 16 11:52:27 UTC 2025","Authorization","Authentication","",""
"","1702","User login with wrong email or password","LMS system","Thu Oct 16 11:52:22 UTC 2025","passed","Thu Oct 16 11:52:24 UTC 2025","Authorization","Authentication","",""
"","1899","Check displaying of dashboard page","LMS system","Thu Oct 16 11:52:33 UTC 2025","passed","Thu Oct 16 11:52:35 UTC 2025","Dashboard","Dashboard","",""
"","1","test_forgot_password_link","tests.pytest","Thu Oct 16 11:52:35 UTC 2025","passed","Thu Oct 16 11:52:35 UTC 2025","TestUserInterface","test_markers","",""
"","2212","Create course","LMS system","Thu Oct 16 11:52:30 UTC 2025","passed","Thu Oct 16 11:52:33 UTC 2025","Courses","Courses","",""
"","3198","Edit course","LMS system","Thu Oct 16 11:52:31 UTC 2025","passed","Thu Oct 16 11:52:34 UTC 2025","Courses","Courses","",""
"","1328","Navigation from login page to registration page","LMS system","Thu Oct 16 11:52:27 UTC 2025","passed","Thu Oct 16 11:52:29 UTC 2025","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Thu Oct 16 11:52:35 UTC 2025","passed","Thu Oct 16 11:52:35 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Thu Oct 16 11:52:35 UTC 2025","passed","Thu Oct 16 11:52:35 UTC 2025","TestUserAuthentication","test_markers","",""
"","1815","Registration with correct email, username and password","LMS system","Thu Oct 16 11:52:26 UTC 2025","passed","Thu Oct 16 11:52:28 UTC 2025","Registration","Authentication","",""
